Confidence of Model in Predicting True Label,Treatment
0.50666285,No Treatment (Control)
0.43455437,No Treatment (Control)
0.9175207,No Treatment (Control)
0.0004412584,No Treatment (Control)
0.028654791,No Treatment (Control)
0.4725156,No Treatment (Control)
0.004270801,No Treatment (Control)
0.13001673,No Treatment (Control)
0.20743361,No Treatment (Control)
0.8620531,No Treatment (Control)
0.014132364,No Treatment (Control)
0.0058122664,No Treatment (Control)
0.85999274,No Treatment (Control)
0.6116127,No Treatment (Control)
0.02969224,No Treatment (Control)
0.0019147779,No Treatment (Control)
0.9669442,No Treatment (Control)
0.10011108,No Treatment (Control)
0.09267764,No Treatment (Control)
0.11671429,No Treatment (Control)
0.00024215029,No Treatment (Control)
0.62656367,No Treatment (Control)
2.41E-05,No Treatment (Control)
0.0006357661,No Treatment (Control)
0.21678373,No Treatment (Control)
0.022435104,No Treatment (Control)
0.9987718,No Treatment (Control)
3.23E-05,No Treatment (Control)
0.9806752,No Treatment (Control)
0.7743624,No Treatment (Control)
0.016055353,No Treatment (Control)
0.7113764,No Treatment (Control)
0.38698938,No Treatment (Control)
0.09864304,No Treatment (Control)
0.7455047,No Treatment (Control)
0.003963976,No Treatment (Control)
0.99768984,No Treatment (Control)
0.17581712,No Treatment (Control)
0.999825,No Treatment (Control)
0.099546455,No Treatment (Control)
0.012771705,No Treatment (Control)
0.86511356,No Treatment (Control)
0.0031688793,No Treatment (Control)
0.944777,No Treatment (Control)
0.62265205,No Treatment (Control)
0.93821543,No Treatment (Control)
0.81516725,No Treatment (Control)
0.7552367,No Treatment (Control)
0.06487055,No Treatment (Control)
0.98678654,No Treatment (Control)
0.02655254,No Treatment (Control)
0.037064258,No Treatment (Control)
0.18286872,No Treatment (Control)
0.2996635,No Treatment (Control)
0.8284978,No Treatment (Control)
0.9996767,No Treatment (Control)
0.2572979,No Treatment (Control)
0.83324766,No Treatment (Control)
0.01327423,No Treatment (Control)
0.012897143,No Treatment (Control)
0.012292575,No Treatment (Control)
0.06407948,No Treatment (Control)
0.0002702177,No Treatment (Control)
0.0008674646,No Treatment (Control)
0.0004126438,No Treatment (Control)
0.106888264,No Treatment (Control)
0.9487476,No Treatment (Control)
0.57288194,No Treatment (Control)
0.09757998,No Treatment (Control)
0.83923167,No Treatment (Control)
0.0063917087,No Treatment (Control)
0.99686265,No Treatment (Control)
0.44473076,No Treatment (Control)
0.01935253,No Treatment (Control)
0.9959624,No Treatment (Control)
0.006273708,No Treatment (Control)
0.0061596553,No Treatment (Control)
0.006262227,No Treatment (Control)
0.18675752,No Treatment (Control)
0.113603495,No Treatment (Control)
0.08794733,No Treatment (Control)
0.00023589341,No Treatment (Control)
0.76292384,No Treatment (Control)
0.5900462,No Treatment (Control)
0.99527425,No Treatment (Control)
0.25467223,No Treatment (Control)
0.00020509207,No Treatment (Control)
0.9957882,No Treatment (Control)
0.0002124355,No Treatment (Control)
0.00089871377,No Treatment (Control)
0.087327294,No Treatment (Control)
0.9910214,No Treatment (Control)
0.001741364,No Treatment (Control)
0.046624523,No Treatment (Control)
0.39519998,No Treatment (Control)
0.004573987,No Treatment (Control)
0.041128922,No Treatment (Control)
0.11657854,No Treatment (Control)
0.830407,No Treatment (Control)
0.12220303,No Treatment (Control)
0.015729584,No Treatment (Control)
0.1805255,No Treatment (Control)
0.0113019105,No Treatment (Control)
0.07852079,No Treatment (Control)
0.98992795,No Treatment (Control)
0.106661454,No Treatment (Control)
0.0131637445,No Treatment (Control)
0.22524238,No Treatment (Control)
0.00074623554,No Treatment (Control)
0.2537982,No Treatment (Control)
0.14074805,No Treatment (Control)
0.0004161625,No Treatment (Control)
4.26E-06,No Treatment (Control)
0.057553746,No Treatment (Control)
0.0005624046,No Treatment (Control)
0.0048035807,No Treatment (Control)
0.5893183,No Treatment (Control)
0.036065947,No Treatment (Control)
0.99610865,No Treatment (Control)
0.032667086,No Treatment (Control)
0.00016417463,No Treatment (Control)
0.00358734,No Treatment (Control)
0.060702916,No Treatment (Control)
0.022069644,No Treatment (Control)
0.116570726,No Treatment (Control)
0.9928695,No Treatment (Control)
0.14124304,No Treatment (Control)
0.0078505585,No Treatment (Control)
0.0023918513,No Treatment (Control)
0.014281242,No Treatment (Control)
0.05952027,No Treatment (Control)
0.02463308,No Treatment (Control)
0.0021145425,No Treatment (Control)
0.84619135,No Treatment (Control)
0.99902254,No Treatment (Control)
0.0061921696,No Treatment (Control)
0.03107945,No Treatment (Control)
0.078290515,No Treatment (Control)
0.00080751075,No Treatment (Control)
0.0015356872,No Treatment (Control)
0.46353891,No Treatment (Control)
0.008720752,No Treatment (Control)
0.00806031,No Treatment (Control)
0.3263713,No Treatment (Control)
0.008320485,No Treatment (Control)
0.7780062,No Treatment (Control)
0.4228298,No Treatment (Control)
0.99394983,No Treatment (Control)
0.0018109902,No Treatment (Control)
0.99959904,No Treatment (Control)
0.0025583897,No Treatment (Control)
0.03748268,No Treatment (Control)
0.36173177,No Treatment (Control)
0.31750587,No Treatment (Control)
0.2977407,No Treatment (Control)
0.84548396,No Treatment (Control)
0.042345293,No Treatment (Control)
0.0946594,No Treatment (Control)
0.0054683355,No Treatment (Control)
0.00016940571,No Treatment (Control)
0.48561272,No Treatment (Control)
0.0017011657,No Treatment (Control)
0.8964989,No Treatment (Control)
0.0030045526,No Treatment (Control)
0.06593634,No Treatment (Control)
0.35488725,No Treatment (Control)
0.0112206945,No Treatment (Control)
0.92162544,No Treatment (Control)
0.46983653,No Treatment (Control)
0.42182913,No Treatment (Control)
0.99948734,No Treatment (Control)
0.02892409,No Treatment (Control)
0.03292245,No Treatment (Control)
